Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Kuwait","Yield","Eggs, hen, in shell","2020","No/An","139"
"Crops and livestock products","Kyrgyzstan","Yield","Eggs, hen, in shell","2020","100mg/An","67334"
"Crops and livestock products","Kyrgyzstan","Yield","Eggs, hen, in shell","2020","No/An","122"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Eggs, hen, in shell","2020","100mg/An","61415"
"Crops and livestock products","Lao People's Democratic Republic","Yield","Eggs, hen, in shell","2020","No/An","123"
"Crops and livestock products","Latvia","Yield","Eggs, hen, in shell","2020","100mg/An","157013"
"Crops and livestock products","Latvia","Yield","Eggs, hen, in shell","2020","No/An","262"
"Crops and livestock products","Lebanon","Yield","Eggs, hen, in shell","2020","100mg/An","131018"
"Crops and livestock products","Lebanon","Yield","Eggs, hen, in shell","2020","No/An","262"
"Crops and livestock products","Lesotho","Yield","Eggs, hen, in shell","2020","100mg/An","51136"
"Crops and livestock products","Lesotho","Yield","Eggs, hen, in shell","2020","No/An","93"
"Crops and livestock products","Liberia","Yield","Eggs, hen, in shell","2020","100mg/An","51527"
"Crops and livestock products","Liberia","Yield","Eggs, hen, in shell","2020","No/An","99"
"Crops and livestock products","Libya","Yield","Eggs, hen, in shell","2020","100mg/An","74511"
"Crops and livestock products","Libya","Yield","Eggs, hen, in shell","2020","No/An","135"
"Crops and livestock products","Lithuania","Yield","Eggs, hen, in shell","2020","100mg/An","92747"
"Crops and livestock products","Lithuania","Yield","Eggs, hen, in shell","2020","No/An","166"
"Crops and livestock products","Luxembourg","Yield","Eggs, hen, in shell","2020","100mg/An","229789"
"Crops and livestock products","Luxembourg","Yield","Eggs, hen, in shell","2020","No/An","356"
"Crops and livestock products","Madagascar","Yield","Eggs, hen, in shell","2020","100mg/An","45366"
"Crops and livestock products","Madagascar","Yield","Eggs, hen, in shell","2020","No/An","108"
"Crops and livestock products","Malawi","Yield","Eggs, hen, in shell","2020","100mg/An","44265"
"Crops and livestock products","Malawi","Yield","Eggs, hen, in shell","2020","No/An","103"
"Crops and livestock products","Malaysia","Yield","Eggs, hen, in shell","2020","100mg/An","78491"
"Crops and livestock products","Malaysia","Yield","Eggs, hen, in shell","2020","No/An","131"
"Crops and livestock products","Mali","Yield","Eggs, hen, in shell","2020","100mg/An","18532"
"Crops and livestock products","Mali","Yield","Eggs, hen, in shell","2020","No/An","45"
"Crops and livestock products","Malta","Yield","Eggs, hen, in shell","2020","100mg/An","131754"
"Crops and livestock products","Malta","Yield","Eggs, hen, in shell","2020","No/An","231"
"Crops and livestock products","Mauritania","Yield","Eggs, hen, in shell","2020","100mg/An","32099"
"Crops and livestock products","Mauritania","Yield","Eggs, hen, in shell","2020","No/An","89"
"Crops and livestock products","Mauritius","Yield","Eggs, hen, in shell","2020","100mg/An","93007"
"Crops and livestock products","Mauritius","Yield","Eggs, hen, in shell","2020","No/An","155"
"Crops and livestock products","Mexico","Yield","Eggs, hen, in shell","2020","100mg/An","143998"
"Crops and livestock products","Mexico","Yield","Eggs, hen, in shell","2020","No/An","272"
"Crops and livestock products","Micronesia (Federated States of)","Yield","Eggs, hen, in shell","2020","100mg/An","21957"
"Crops and livestock products","Micronesia (Federated States of)","Yield","Eggs, hen, in shell","2020","No/An","42"
"Crops and livestock products","Mongolia","Yield","Eggs, hen, in shell","2020","100mg/An","118602"
"Crops and livestock products","Mongolia","Yield","Eggs, hen, in shell","2020","No/An","237"
"Crops and livestock products","Montenegro","Yield","Eggs, hen, in shell","2020","100mg/An","105983"
"Crops and livestock products","Montenegro","Yield","Eggs, hen, in shell","2020","No/An","205"
"Crops and livestock products","Morocco","Yield","Eggs, hen, in shell","2020","100mg/An","60089"
"Crops and livestock products","Morocco","Yield","Eggs, hen, in shell","2020","No/An","97"
"Crops and livestock products","Mozambique","Yield","Eggs, hen, in shell","2020","100mg/An","48984"
"Crops and livestock products","Mozambique","Yield","Eggs, hen, in shell","2020","No/An","106"
"Crops and livestock products","Myanmar","Yield","Eggs, hen, in shell","2020","100mg/An","66539"
"Crops and livestock products","Myanmar","Yield","Eggs, hen, in shell","2020","No/An","139"
"Crops and livestock products","Namibia","Yield","Eggs, hen, in shell","2020","100mg/An","27717"
"Crops and livestock products","Namibia","Yield","Eggs, hen, in shell","2020","No/An","69"
"Crops and livestock products","Nauru","Yield","Eggs, hen, in shell","2020","100mg/An","22500"
"Crops and livestock products","Nauru","Yield","Eggs, hen, in shell","2020","No/An","73"
"Crops and livestock products","Nepal","Yield","Eggs, hen, in shell","2020","100mg/An","62028"
"Crops and livestock products","Nepal","Yield","Eggs, hen, in shell","2020","No/An","124"
"Crops and livestock products","Netherlands","Yield","Eggs, hen, in shell","2020","100mg/An","150353"
"Crops and livestock products","New Caledonia","Yield","Eggs, hen, in shell","2020","100mg/An","170068"
"Crops and livestock products","New Caledonia","Yield","Eggs, hen, in shell","2020","No/An","315"
"Crops and livestock products","New Zealand","Yield","Eggs, hen, in shell","2020","100mg/An","164488"
"Crops and livestock products","New Zealand","Yield","Eggs, hen, in shell","2020","No/An","294"
"Crops and livestock products","Nicaragua","Yield","Eggs, hen, in shell","2020","100mg/An","81780"
"Crops and livestock products","Nicaragua","Yield","Eggs, hen, in shell","2020","No/An","143"
"Crops and livestock products","Niger","Yield","Eggs, hen, in shell","2020","100mg/An","26363"
"Crops and livestock products","Niger","Yield","Eggs, hen, in shell","2020","No/An","78"
"Crops and livestock products","Nigeria","Yield","Eggs, hen, in shell","2020","100mg/An","53158"
"Crops and livestock products","Nigeria","Yield","Eggs, hen, in shell","2020","No/An","133"
"Crops and livestock products","Niue","Yield","Eggs, hen, in shell","2020","100mg/An","46667"
"Crops and livestock products","Niue","Yield","Eggs, hen, in shell","2020","No/An","118"
"Crops and livestock products","North Macedonia","Yield","Eggs, hen, in shell","2020","100mg/An","75539"
"Crops and livestock products","North Macedonia","Yield","Eggs, hen, in shell","2020","No/An","154"
"Crops and livestock products","Norway","Yield","Eggs, hen, in shell","2020","100mg/An","158685"
"Crops and livestock products","Norway","Yield","Eggs, hen, in shell","2020","No/An","264"
"Crops and livestock products","Oman","Yield","Eggs, hen, in shell","2020","100mg/An","163281"
"Crops and livestock products","Oman","Yield","Eggs, hen, in shell","2020","No/An","297"
"Crops and livestock products","Pakistan","Yield","Eggs, hen, in shell","2020","100mg/An","91205"
"Crops and livestock products","Pakistan","Yield","Eggs, hen, in shell","2020","No/An","194"
"Crops and livestock products","Palestine","Yield","Eggs, hen, in shell","2020","100mg/An","125792"
"Crops and livestock products","Palestine","Yield","Eggs, hen, in shell","2020","No/An","211"
"Crops and livestock products","Panama","Yield","Eggs, hen, in shell","2020","100mg/An","114458"
"Crops and livestock products","Panama","Yield","Eggs, hen, in shell","2020","No/An","234"
"Crops and livestock products","Papua New Guinea","Yield","Eggs, hen, in shell","2020","100mg/An","32895"
"Crops and livestock products","Papua New Guinea","Yield","Eggs, hen, in shell","2020","No/An","73"
"Crops and livestock products","Paraguay","Yield","Eggs, hen, in shell","2020","100mg/An","111319"
"Crops and livestock products","Paraguay","Yield","Eggs, hen, in shell","2020","No/An","227"
"Crops and livestock products","Peru","Yield","Eggs, hen, in shell","2020","100mg/An","169653"
"Crops and livestock products","Peru","Yield","Eggs, hen, in shell","2020","No/An","339"
"Crops and livestock products","Philippines","Yield","Eggs, hen, in shell","2020","100mg/An","52128"
"Crops and livestock products","Philippines","Yield","Eggs, hen, in shell","2020","No/An","109"
"Crops and livestock products","Poland","Yield","Eggs, hen, in shell","2020","100mg/An","131797"
"Crops and livestock products","Poland","Yield","Eggs, hen, in shell","2020","No/An","240"
"Crops and livestock products","Portugal","Yield","Eggs, hen, in shell","2020","100mg/An","250101"
"Crops and livestock products","Portugal","Yield","Eggs, hen, in shell","2020","No/An","374"
"Crops and livestock products","Puerto Rico","Yield","Eggs, hen, in shell","2020","100mg/An","90822"
"Crops and livestock products","Puerto Rico","Yield","Eggs, hen, in shell","2020","No/An","157"
"Crops and livestock products","Qatar","Yield","Eggs, hen, in shell","2020","100mg/An","128941"
"Crops and livestock products","Qatar","Yield","Eggs, hen, in shell","2020","No/An","258"
"Crops and livestock products","Republic of Korea","Yield","Eggs, hen, in shell","2020","100mg/An","101203"
"Crops and livestock products","Republic of Korea","Yield","Eggs, hen, in shell","2020","No/An","184"
"Crops and livestock products","Republic of Moldova","Yield","Eggs, hen, in shell","2020","100mg/An","111359"
"Crops and livestock products","Republic of Moldova","Yield","Eggs, hen, in shell","2020","No/An","202"
"Crops and livestock products","Romania","Yield","Eggs, hen, in shell","2020","100mg/An","66053"
"Crops and livestock products","Romania","Yield","Eggs, hen, in shell","2020","No/An","132"
"Crops and livestock products","Russian Federation","Yield","Eggs, hen, in shell","2020","100mg/An","157827"
"Crops and livestock products","Russian Federation","Yield","Eggs, hen, in shell","2020","No/An","282"
"Crops and livestock products","Rwanda","Yield","Eggs, hen, in shell","2020","100mg/An","51678"
"Crops and livestock products","Rwanda","Yield","Eggs, hen, in shell","2020","No/An","148"
"Crops and livestock products","Saint Kitts and Nevis","Yield","Eggs, hen, in shell","2020","100mg/An","49286"
"Crops and livestock products","Saint Kitts and Nevis","Yield","Eggs, hen, in shell","2020","No/An","110"
"Crops and livestock products","Saint Lucia","Yield","Eggs, hen, in shell","2020","100mg/An","109474"
"Crops and livestock products","Saint Lucia","Yield","Eggs, hen, in shell","2020","No/An","224"
"Crops and livestock products","Saint Vincent and the Grenadines","Yield","Eggs, hen, in shell","2020","100mg/An","125106"
"Crops and livestock products","Saint Vincent and the Grenadines","Yield","Eggs, hen, in shell","2020","No/An","278"
"Crops and livestock products","Samoa","Yield","Eggs, hen, in shell","2020","100mg/An","51842"
"Crops and livestock products","Samoa","Yield","Eggs, hen, in shell","2020","No/An","113"
"Crops and livestock products","Sao Tome and Principe","Yield","Eggs, hen, in shell","2020","100mg/An","21136"
"Crops and livestock products","Sao Tome and Principe","Yield","Eggs, hen, in shell","2020","No/An","49"
"Crops and livestock products","Saudi Arabia","Yield","Eggs, hen, in shell","2020","100mg/An","105006"
"Crops and livestock products","Saudi Arabia","Yield","Eggs, hen, in shell","2020","No/An","194"
"Crops and livestock products","Senegal","Yield","Eggs, hen, in shell","2020","100mg/An","41730"
"Crops and livestock products","Senegal","Yield","Eggs, hen, in shell","2020","No/An","83"
"Crops and livestock products","Serbia","Yield","Eggs, hen, in shell","2020","100mg/An","100206"
"Crops and livestock products","Serbia","Yield","Eggs, hen, in shell","2020","No/An","200"
"Crops and livestock products","Seychelles","Yield","Eggs, hen, in shell","2020","100mg/An","119897"
"Crops and livestock products","Seychelles","Yield","Eggs, hen, in shell","2020","No/An","255"
"Crops and livestock products","Sierra Leone","Yield","Eggs, hen, in shell","2020","100mg/An","22895"
"Crops and livestock products","Sierra Leone","Yield","Eggs, hen, in shell","2020","No/An","49"
"Crops and livestock products","Singapore","Yield","Eggs, hen, in shell","2020","100mg/An","126591"
"Crops and livestock products","Singapore","Yield","Eggs, hen, in shell","2020","No/An","211"
"Crops and livestock products","Slovakia","Yield","Eggs, hen, in shell","2020","100mg/An","141956"
"Crops and livestock products","Slovakia","Yield","Eggs, hen, in shell","2020","No/An","253"
"Crops and livestock products","Slovenia","Yield","Eggs, hen, in shell","2020","100mg/An","132615"
"Crops and livestock products","Slovenia","Yield","Eggs, hen, in shell","2020","No/An","233"
"Crops and livestock products","Solomon Islands","Yield","Eggs, hen, in shell","2020","100mg/An","44122"
"Crops and livestock products","Solomon Islands","Yield","Eggs, hen, in shell","2020","No/An","103"
